Ils arrêteront la bataille,Futur simple,
Le vilain a découvert la faiblesse de superman,Passé composé,
Cette équipe gagne d'habitude,Présent,
Ils les protégeront des vilains,Futur simple,
Les Vengeurs protégeront les citoyens,Futur simple,
Aquaman nagera avec l’homme de fer,Futur simple,
Les super-héros a gagné la guerre,Passé composé,
La Veuve Noire a combattu avec Capitaine America,Passé composé, 
La super-héroïne utilise son bouclier pour lutter contre les vilains,Présent,
Harley Quinn et Joker ont causé des ravages,Passé composé,
Le super-héro va tuer le vilain,Futur simple,g, fix
