A cape,Une cape,
A belt,La ceinture,
A sword,Une épée,
A skirt,Une jupe,
A weakness,Une faiblesse,
A ring,A bague,
Wings,Des ailes,
A superheroine,Une super-héroïne,
Boots,Des bottes,
Armour,Une arme,
Bracelet,Un bracelet,
Superpowers,Les super-pouvoirs,
Headband,Un bandeau,
Stick,Un bâton,
Pants,Des pantalons,
Top,Le haut,
Tights,Des collants,
Gloves,Des gants,
Costume,Un costume,
Shield,Un bouclier,
Mask,Un casque,
Villain,Un villain,
Mask,Un masque,
To fight,Lutter,
To defend,Défendre,
To destroy,Détruire,
To protect,Protéger,
To save,Menacer,
To fly,Voler,
Mean,Méchante,
Strong,Puissant,
Weak,Faible,
Destructive,Destructif,
Nice,Gentil
