"Wonder Woman is ""stronger than"" Batman",Plus forte que,
"IronMan is ""as smart"" as Batman",Aussi intelligent que,
"Flash is ""as fast as"" Superman",Aussi rapide que,
"Superman ""has more"" friends than Batman",Plus amis que,
"Wonder Woman ""is not as strong as"" Hulk",N’est pas aussi forte que,
"Thor and Loki have ""the same strength""",Aussi fort que,
"DC super heroes are ""less colourful and vivid"" than Marvel superheroes",Moins coloré et vif que,
"Batman is ""more human"" than most superheroes",Plus humain que,
"Loki ""is not as wise"" as Thor",N’est pas aussi intelligent que,
"Most citizens ""are less courageous"" than normal superheroes",Moins courageux que,
Superman is “the strongest” superhero,Le plus fort,
Wonder Woman is “the best fighter”,Le mieux combattante.,
Black Widow is “the least fast”,Le moins rapide.,
Aquaman is “the tallest” superhero,Le plus grand,
Batman is “the least talkative”,Le moins bavard,
Cyborg is “the smartest”,Le plus intelligent,
The Flash is “the best runner”,Le mieux coureur ,
Supergirl is “the least negative”,Le moins négative, 
Black Canary is “the loudest”,Le plus bruyant,
Nightwing is “the best acrobat”,Le mieux acrobat
